"Labour Force Status by Sex by Age Group - Sampling Errors (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","",""
"","Sampling errors","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","Female","","","","","","","","","",""
" ","Aged 15-19 Years","Aged 20-24 Years","Aged 25-29 Years","Aged 30-34 Years","Aged 35-39 Years","Aged 40-44 Years","Aged 45-49 Years","Aged 50-54 Years","Aged 55-59 Years","Aged 60-64 Years","Aged 65 Years and Over","Aged 15-19 Years","Aged 20-24 Years","Aged 25-29 Years","Aged 30-34 Years","Aged 35-39 Years","Aged 40-44 Years","Aged 45-49 Years","Aged 50-54 Years","Aged 55-59 Years","Aged 60-64 Years","Aged 65 Years and Over"
" ","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate","Labour Force Participation Rate"
"1990Q2",2.2,1.8,1.3,1.1,1.2,1.1,1.1,1.8,2.4,2.6,1.3,2.4,2.0,2.4,2.0,2.5,2.0,2.0,2.5,2.7,2.3,0.8
"1990Q3",2.2,1.8,1.1,1.2,1.0,1.3,1.3,1.6,2.6,2.8,1.3,2.3,2.2,2.2,2.2,2.3,1.8,1.9,2.7,3.0,2.4,0.7
"1990Q4",2.3,1.5,1.0,1.3,1.2,1.0,1.2,1.7,2.3,2.8,1.1,2.3,2.0,2.2,2.1,2.1,1.9,2.1,2.7,2.8,2.3,0.8
"1991Q1",2.3,1.9,1.2,1.1,1.0,1.1,1.2,1.7,2.3,2.8,1.3,2.0,1.9,2.4,2.0,1.9,1.8,2.0,2.7,2.6,2.2,0.7
"1991Q2",2.2,1.8,1.2,1.0,1.2,1.2,1.1,1.7,2.5,2.5,1.2,2.1,2.1,2.1,1.8,1.9,2.1,2.0,2.7,2.5,2.2,0.8
"1991Q3",2.6,2.4,1.5,1.2,1.3,1.2,1.4,1.9,3.1,3.2,1.7,2.4,2.5,2.5,2.3,2.5,2.3,2.8,3.3,3.4,2.3,0.9
"1991Q4",3.0,1.8,1.6,1.4,1.3,1.2,1.6,1.8,3.3,3.6,1.6,2.7,2.3,3.0,2.1,2.5,2.4,2.3,3.1,4.1,2.5,0.8
"1992Q1",2.4,2.2,1.6,1.6,1.3,1.2,1.5,1.9,3.0,3.2,1.5,2.9,2.2,2.8,2.4,2.6,2.6,2.7,3.2,3.6,2.7,0.9
